"","GLOBAL UNIQUE IDENTIFIER","LAST EDITED DATE","TAXONOMIC ORDER","CATEGORY","COMMON NAME","SCIENTIFIC NAME","SUBSPECIES COMMON NAME","SUBSPECIES SCIENTIFIC NAME","OBSERVATION COUNT","BREEDING BIRD ATLAS CODE","BREEDING BIRD ATLAS CATEGORY","AGE/SEX","COUNTRY","COUNTRY CODE","STATE","STATE CODE","COUNTY","COUNTY CODE","IBA CODE","BCR CODE","USFWS CODE","ATLAS BLOCK","LOCALITY","LOCALITY ID","LOCALITY TYPE","LATITUDE","LONGITUDE","OBSERVATION DATE","TIME OBSERVATIONS STARTED","OBSERVER ID","SAMPLING EVENT IDENTIFIER","PROTOCOL TYPE","PROTOCOL CODE","PROJECT CODE","DURATION MINUTES","EFFORT DISTANCE KM","EFFORT AREA HA","NUMBER OBSERVERS","ALL SPECIES REPORTED","GROUP IDENTIFIER","HAS MEDIA","APPROVED","REVIEWED","REASON","TRIP COMMENTS","SPECIES COMMENTS"
"1","URN:CornellLabOfOrnithology:EBIRD:OBS318536888","8/10/2015 10:28",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"Sacramento, MG","L3634331","P",-20.112113,-46.987417,2015-05-09,"6:30:00","obsr552720","S23380111","Historical","P62","EBIRD",450,70,NA,1,1,NA,0,1,0,NA,NA,NA
"2","URN:CornellLabOfOrnithology:EBIRD:OBS330844157","2/5/2016 12:52",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"PN Serra da Canastra--plateau","L1123074","H",-20.2183,-46.4763,2015-07-04,"8:00:00","obsr397143","S24194366","Traveling","P22","EBIRD",510,50,NA,3,1,"G1340485",0,1,0,NA,"Driving the entire road from the main entrance to the Casca d'Anta waterfall","At Nascente do Rio Sao Francisco"
"3","URN:CornellLabOfOrnithology:EBIRD:OBS356368989","2/7/2019 20:43",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,"Male, Adult (1)","Brazil","BR","Goiás","BR-GO",NA,NA,NA,NA,NA,NA,"Chapada dos Veadeiros--Bona Espero","L2934194","H",-14.1371583,-47.6262903,2015-11-13,"17:00:00","obsr280745","S26067287","Traveling","P22","EBIRD",45,1,NA,4,1,NA,0,1,0,NA,NA,NA
"4","URN:CornellLabOfOrnithology:EBIRD:OBS317790338","8/7/2018 14:23",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Goiás","BR-GO",NA,NA,NA,NA,NA,NA,"Estrada para a Fazenda Firmeza","L3599845","H",-14.2964824,-47.4933922,2015-05-09,"14:20:00","obsr522970","S23339790","Traveling","P22","EBIRD",120,25,NA,2,1,NA,0,1,0,NA,"rodovia go 118 e estrada vicinal com campos de altitude, cerrado e campo úmido",NA
"5","URN:CornellLabOfOrnithology:EBIRD:OBS894367289","4/15/2020 9:55",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"serra da Canastra","L11145103","P",-20.1435418,-46.6582124,2015-03-03,"7:00:00","obsr623287","S67137181","Traveling","P22","EBIRD_BRA",480,80,NA,5,1,NA,0,1,0,NA,NA,NA
"6","URN:CornellLabOfOrnithology:EBIRD:OBS330780453","7/9/2015 14:51",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"PN Serra da Canastra--plateau","L1123074","H",-20.2183,-46.4763,2015-07-04,"8:00:00","obsr239797","S24189502","Traveling","P22","EBIRD",510,50,NA,3,1,"G1340485",0,1,0,NA,"Driving the entire road from the main entrance to the Casca d'Anta waterfall","At Nascente do Rio Sao Francisco"
"7","URN:CornellLabOfOrnithology:EBIRD:OBS423322003","2/7/2019 20:44",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Goiás","BR-GO",NA,NA,NA,NA,NA,NA,"Chapada dos Veadeiros--Fazenda dos Anões","L2236325","H",-14.3186024,-47.5041586,2016-08-01,"17:30:00","obsr518938","S31092017","Traveling","P22","EBIRD",30,1,NA,4,1,"G1883033",0,1,0,NA,"<br />Submitted from eBird for iOS, version 1.2.5 Build 73",NA
"8","URN:CornellLabOfOrnithology:EBIRD:OBS432186437","7/23/2020 15:28",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Goiás","BR-GO",NA,NA,NA,NA,NA,NA,"Estrada para a Fazenda Firmeza","L3599845","H",-14.2964824,-47.4933922,2016-09-25,"10:00:00","obsr522970","S31755898","Traveling","P22","EBIRD",60,5,NA,3,1,NA,0,1,0,NA,NA,NA
"9","URN:CornellLabOfOrnithology:EBIRD:OBS814000567","10/7/2019 17:59",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"Cachoeira da Casca D'Anta--Parte alta","L8088074","H",-20.2973442,-46.5221634,2016-09-01,"6:10:00","obsr1457558","S60435002","Traveling","P22","EBIRD",800,20,NA,4,1,NA,0,1,0,NA,NA,NA
"10","URN:CornellLabOfOrnithology:EBIRD:OBS435615113","10/20/2020 8:00",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"-20.2919x-46.5191 - Oct 10, 2016, 09:47","L4983131","P",-20.291933,-46.519076,2016-10-10,"9:47:00","obsr553158","S31998883","Incidental","P20","EBIRD",NA,NA,NA,1,0,NA,1,1,0,NA,NA,"Macho adulto. Foto"
"11","URN:CornellLabOfOrnithology:EBIRD:OBS418803734","8/8/2019 10:25",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Goiás","BR-GO",NA,NA,NA,NA,NA,NA,"Parque Nacional das Emas","L567986","H",-18.2609794,-52.8883982,2016-07-18,"6:15:00","obsr431534","S30753522","Traveling","P22","EBIRD",660,20,NA,4,1,"G1852565",0,1,0,NA,NA,NA
"12","URN:CornellLabOfOrnithology:EBIRD:OBS418796413","8/8/2019 10:25",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Goiás","BR-GO",NA,NA,NA,NA,NA,NA,"Parque Nacional das Emas","L567986","H",-18.2609794,-52.8883982,2016-07-18,"6:15:00","obsr360030","S30752962","Traveling","P22","EBIRD",660,20,NA,4,1,"G1852565",0,1,0,NA,NA,NA
"13","URN:CornellLabOfOrnithology:EBIRD:OBS447898808","9/28/2019 22:15",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","São Paulo","BR-SP",NA,NA,NA,NA,NA,NA,"Estação Ecológica de Itirapina","L943006","H",-22.2295385,-47.8946037,2016-10-28,"8:14:00","obsr648310","S32922032","Historical","P62","EBIRD",360,NA,NA,2,1,NA,1,1,1,NA,NA,NA
"14","URN:CornellLabOfOrnithology:EBIRD:OBS421338436","2/7/2019 20:44",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Goiás","BR-GO",NA,NA,NA,NA,NA,NA,"Chapada dos Veadeiros--Fazenda dos Anões","L2236325","H",-14.3186024,-47.5041586,2016-08-01,"17:30:00","obsr553166","S30943815","Traveling","P22","EBIRD",30,1,NA,4,1,"G1883033",0,1,0,NA,NA,NA
"15","URN:CornellLabOfOrnithology:EBIRD:OBS431264524","1/29/2019 4:33",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"São Roque de Minas--Hotel Chapadão da Canastra","L3110356","H",-20.2441648,-46.3688144,2016-07-20,"7:03:00","obsr622695","S31690369","Historical","P62","EBIRD",600,50,1,3,1,NA,0,1,0,NA,NA,NA
"16","URN:CornellLabOfOrnithology:EBIRD:OBS545587119","10/30/2017 15:11",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"PN Serra da Canastra--plateau","L1123074","H",-20.2183,-46.4763,2017-10-22,"9:23:00","obsr427721","S40214128","Traveling","P22","EBIRD",20,0.322,NA,10,1,"G2697905",0,1,0,NA,"WINGS group with Fabrice Schmitt",NA
"17","URN:CornellLabOfOrnithology:EBIRD:OBS524101093","8/8/2017 17:58",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"-20.215x-46.648","L6124722","P",-20.2153,-46.6477358,2017-07-21,"13:40:00","obsr808160","S38548049","Incidental","P20","EBIRD_BRA",NA,NA,NA,4,0,"G2560711",0,1,0,NA,NA,NA
"18","URN:CornellLabOfOrnithology:EBIRD:OBS529297707","8/21/2020 10:15",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"PN Serra da Canastra--São Roque de Minas","L4680493","H",-20.2539235,-46.5511698,2017-08-26,"12:47:00","obsr670042","S38939236","Traveling","P22","EBIRD",518,60,NA,3,1,"G2611659",1,1,0,NA,NA,NA
"19","URN:CornellLabOfOrnithology:EBIRD:OBS541367599","5/23/2020 22:45",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Goiás","BR-GO",NA,NA,NA,NA,NA,NA,"Parque Nacional das Emas","L567986","H",-18.2609794,-52.8883982,2017-09-25,NA,"obsr549029","S39906447","Historical","P62","EBIRD",NA,NA,NA,NA,0,NA,0,1,0,NA,NA,NA
"20","URN:CornellLabOfOrnithology:EBIRD:OBS543950367","10/23/2017 20:07",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"PN Serra da Canastra--plateau","L1123074","H",-20.2183,-46.4763,2017-10-22,"9:23:00","obsr119128","S40091521","Traveling","P22","EBIRD",20,0.322,NA,10,1,"G2697905",0,1,0,NA,NA,NA
"21","URN:CornellLabOfOrnithology:EBIRD:OBS527714087","8/21/2020 10:15",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"PN Serra da Canastra--São Roque de Minas","L4680493","H",-20.2539235,-46.5511698,2017-08-25,"6:49:00","obsr762013","S38820140","Traveling","P22","EBIRD",805,50,NA,3,1,"G2611472",0,1,0,NA,NA,NA
"22","URN:CornellLabOfOrnithology:EBIRD:OBS544481393","11/5/2017 13:02",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"PN Serra da Canastra--plateau","L1123074","H",-20.2183,-46.4763,2017-10-22,"10:59:00","obsr334540","S40130186","Traveling","P22","EBIRD",40,0.644,NA,10,1,"G2697906",0,1,0,NA,NA,NA
"23","URN:CornellLabOfOrnithology:EBIRD:OBS520946151","10/27/2020 21:10",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Paraguay","PY","San Pedro","PY-2",NA,NA,NA,NA,NA,NA,"Localidad desconocida - -23,745x-56,323 - 10 jul. 2017 15:48","L6074698","P",-23.7451591,-56.3225835,2017-07-10,"15:48:00","obsr622996","S38308084","Traveling","P22","EBIRD",124,1,NA,8,1,"G2533103",0,1,0,NA,NA,NA
"24","URN:CornellLabOfOrnithology:EBIRD:OBS555996864","9/29/2020 12:47",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","São Paulo","BR-SP",NA,NA,NA,NA,NA,NA,"(-22,2479,-47,8867)","L6548947","P",-22.24793,-47.886721,2017-12-10,"7:23:00","obsr800827","S41006327","Traveling","P22","EBIRD_BRA",353,59.634,NA,2,1,NA,0,1,1,NA,NA,NA
"25","URN:CornellLabOfOrnithology:EBIRD:OBS543699913","11/5/2017 13:02",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"PN Serra da Canastra--plateau","L1123074","H",-20.2183,-46.4763,2017-10-22,"10:59:00","obsr131787","S40074282","Traveling","P22","EBIRD",40,0.644,NA,10,1,"G2697906",0,1,0,NA,NA,NA
"26","URN:CornellLabOfOrnithology:EBIRD:OBS544459515","11/5/2017 13:02",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"PN Serra da Canastra--plateau","L1123074","H",-20.2183,-46.4763,2017-10-22,"10:59:00","obsr104695","S40128559","Traveling","P22","EBIRD",40,0.644,NA,10,1,"G2697906",0,1,0,NA,NA,NA
"27","URN:CornellLabOfOrnithology:EBIRD:OBS544424000","11/5/2017 13:02",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"PN Serra da Canastra--plateau","L1123074","H",-20.2183,-46.4763,2017-10-22,"10:59:00","obsr59502","S40125889","Traveling","P22","EBIRD",40,0.644,NA,10,1,"G2697906",0,1,0,NA,"WINGS group with Fabrice Schmitt",NA
"28","URN:CornellLabOfOrnithology:EBIRD:OBS527986647","8/21/2020 10:15",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"PN Serra da Canastra--São Roque de Minas","L4680493","H",-20.2539235,-46.5511698,2017-08-26,"12:47:00","obsr762013","S38839998","Traveling","P22","EBIRD",518,60,NA,3,1,"G2611659",1,1,0,NA,NA,NA
"29","URN:CornellLabOfOrnithology:EBIRD:OBS518232926","10/27/2020 21:10",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Paraguay","PY","San Pedro","PY-2",NA,NA,NA,NA,NA,NA,"Localidad desconocida - -23,745x-56,323 - 10 jul. 2017 15:48","L6074698","P",-23.7451591,-56.3225835,2017-07-10,"15:48:00","obsr786997","S38110326","Traveling","P22","EBIRD",124,1,NA,8,1,"G2533103",0,1,0,NA,NA,NA
"30","URN:CornellLabOfOrnithology:EBIRD:OBS521994142","7/30/2017 9:48",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"-20.215x-46.648","L6124722","P",-20.2153,-46.6477358,2017-07-21,"13:40:00","obsr467819","S38389390","Incidental","P20","EBIRD_BRA",NA,NA,NA,4,0,"G2560711",0,1,0,NA,NA,NA
"31","URN:CornellLabOfOrnithology:EBIRD:OBS544459588","10/26/2017 10:44",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"PN Serra da Canastra--plateau","L1123074","H",-20.2183,-46.4763,2017-10-22,"9:23:00","obsr104695","S40128562","Traveling","P22","EBIRD",20,0.322,NA,10,1,"G2697905",0,1,0,NA,NA,NA
"32","URN:CornellLabOfOrnithology:EBIRD:OBS591914432","10/27/2020 21:10",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Paraguay","PY","San Pedro","PY-2",NA,NA,NA,NA,NA,NA,"Localidad desconocida - -23,745x-56,323 - 10 jul. 2017 15:48","L6074698","P",-23.7451591,-56.3225835,2017-07-10,"15:48:00","obsr814869","S43966339","Traveling","P22","EBIRD",124,1,NA,8,1,"G2533103",0,1,0,NA,NA,NA
"33","URN:CornellLabOfOrnithology:EBIRD:OBS517736427","10/27/2020 21:10",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Paraguay","PY","San Pedro","PY-2",NA,NA,NA,NA,NA,NA,"Localidad desconocida - -23,745x-56,323 - 10 jul. 2017 15:48","L6074698","P",-23.7451591,-56.3225835,2017-07-10,"15:48:00","obsr508506","S38073989","Traveling","P22","EBIRD",124,1,NA,8,1,"G2533103",0,1,0,NA,NA,NA
"34","URN:CornellLabOfOrnithology:EBIRD:OBS543699487","10/23/2017 20:07",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"PN Serra da Canastra--plateau","L1123074","H",-20.2183,-46.4763,2017-10-22,"9:23:00","obsr131787","S40074249","Traveling","P22","EBIRD",20,0.322,NA,10,1,"G2697905",0,1,0,NA,NA,NA
"35","URN:CornellLabOfOrnithology:EBIRD:OBS518184191","10/27/2020 21:10",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Paraguay","PY","San Pedro","PY-2",NA,NA,NA,NA,NA,NA,"Localidad desconocida - -23,745x-56,323 - 10 jul. 2017 15:48","L6074698","P",-23.7451591,-56.3225835,2017-07-10,"15:48:00","obsr538107","S38106477","Traveling","P22","EBIRD",124,1,NA,8,1,"G2533103",0,1,0,NA,NA,NA
"36","URN:CornellLabOfOrnithology:EBIRD:OBS529262537","8/21/2020 10:15",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"PN Serra da Canastra--São Roque de Minas","L4680493","H",-20.2539235,-46.5511698,2017-08-25,"6:49:00","obsr670042","S38936931","Traveling","P22","EBIRD",805,50,NA,3,1,"G2611472",0,1,0,NA,NA,NA
"37","URN:CornellLabOfOrnithology:EBIRD:OBS544016615","11/5/2017 13:02",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"PN Serra da Canastra--plateau","L1123074","H",-20.2183,-46.4763,2017-10-22,"10:59:00","obsr232164","S40095821","Traveling","P22","EBIRD",40,0.644,NA,10,1,"G2697906",0,1,0,NA,NA,NA
"38","URN:CornellLabOfOrnithology:EBIRD:OBS544016586","10/24/2017 3:14",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"PN Serra da Canastra--plateau","L1123074","H",-20.2183,-46.4763,2017-10-22,"9:23:00","obsr232164","S40095819","Traveling","P22","EBIRD",20,0.322,NA,10,1,"G2697905",0,1,0,NA,NA,NA
"39","URN:CornellLabOfOrnithology:EBIRD:OBS544424016","10/26/2017 4:23",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"PN Serra da Canastra--plateau","L1123074","H",-20.2183,-46.4763,2017-10-22,"9:23:00","obsr59502","S40125890","Traveling","P22","EBIRD",20,0.322,NA,10,1,"G2697905",0,1,0,NA,"WINGS group with Fabrice Schmitt",NA
"40","URN:CornellLabOfOrnithology:EBIRD:OBS544481513","10/26/2017 12:42",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"PN Serra da Canastra--plateau","L1123074","H",-20.2183,-46.4763,2017-10-22,"9:23:00","obsr334540","S40130198","Traveling","P22","EBIRD",20,0.322,NA,10,1,"G2697905",0,1,0,NA,NA,NA
"41","URN:CornellLabOfOrnithology:EBIRD:OBS543950407","11/5/2017 13:02",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"PN Serra da Canastra--plateau","L1123074","H",-20.2183,-46.4763,2017-10-22,"10:59:00","obsr119128","S40091525","Traveling","P22","EBIRD",40,0.644,NA,10,1,"G2697906",0,1,0,NA,NA,NA
"42","URN:CornellLabOfOrnithology:EBIRD:OBS478994146","3/26/2017 18:47",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Goiás","BR-GO",NA,NA,NA,NA,NA,NA,"BR-State of Goiás-Alto Paraíso de Goiás-Unnamed Road - -14.155x-47.626","L5619855","P",-14.1549333,-47.6260771,2017-03-26,"18:23:00","obsr339507","S35453920","Traveling","P22","EBIRD",60,2.5,NA,2,1,NA,0,1,0,NA,NA,NA
"43","URN:CornellLabOfOrnithology:EBIRD:OBS521199907","7/30/2017 6:35",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"-20.215x-46.648","L6124722","P",-20.2153,-46.6477358,2017-07-21,"13:40:00","obsr537362","S38327959","Incidental","P20","EBIRD_BRA",NA,NA,NA,4,0,"G2560711",0,1,0,NA,NA,NA
"44","URN:CornellLabOfOrnithology:EBIRD:OBS521965505","7/30/2017 6:35",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"-20.215x-46.648","L6124722","P",-20.2153,-46.6477358,2017-07-21,"13:40:00","obsr553158","S38387516","Incidental","P20","EBIRD_BRA",NA,NA,NA,4,0,"G2560711",0,1,0,NA,NA,NA
"45","URN:CornellLabOfOrnithology:EBIRD:OBS543559446","2/7/2019 20:43",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Goiás","BR-GO",NA,NA,NA,NA,NA,NA,"Chapada dos Veadeiros--Bona Espero","L2934194","H",-14.1371583,-47.6262903,2017-10-14,"10:07:00","obsr623245","S40064508","Traveling","P22","EBIRD",120,2,NA,4,1,NA,0,1,0,NA,NA,NA
"46","URN:CornellLabOfOrnithology:EBIRD:OBS522305539","7/31/2017 12:26",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"-20.215x-46.648","L6124722","P",-20.2153,-46.6477358,2017-07-21,"13:40:00","obsr189372","S38411166","Incidental","P20","EBIRD_BRA",NA,NA,NA,4,0,"G2560711",0,1,0,NA,NA,NA
"47","URN:CornellLabOfOrnithology:EBIRD:OBS541381941","8/18/2019 22:14",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Goiás","BR-GO",NA,NA,NA,NA,NA,NA,"Parque Nacional das Emas","L567986","H",-18.2609794,-52.8883982,2017-09-26,NA,"obsr549029","S39906884","Historical","P62","EBIRD",NA,NA,NA,NA,0,NA,0,1,0,NA,NA,NA
"48","URN:CornellLabOfOrnithology:EBIRD:OBS545587202","11/30/2017 19:54",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"PN Serra da Canastra--plateau","L1123074","H",-20.2183,-46.4763,2017-10-22,"10:59:00","obsr427721","S40214139","Traveling","P22","EBIRD",40,0.644,NA,10,1,"G2697906",0,1,0,NA,"WINGS group with Fabrice Schmitt",NA
"49","URN:CornellLabOfOrnithology:EBIRD:OBS651936098","8/27/2018 18:09",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"PN Serra da Canastra--plateau","L1123074","H",-20.2183,-46.4763,2018-07-05,"13:45:00","obsr421749","S48115271","Traveling","P22","EBIRD",220,15,NA,2,1,"G3423740",0,1,0,NA,NA,NA
"50","URN:CornellLabOfOrnithology:EBIRD:OBS674388913","11/11/2018 14:35",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"Uberaba - área geral","L8130963","P",-19.7003245,-47.9867388,2018-11-05,"14:38:00","obsr623245","S49750900","Traveling","P22","EBIRD",180,12,NA,3,1,NA,1,1,0,NA,"Guiada por Cal Martins com Leila Esteves",NA
"51","URN:CornellLabOfOrnithology:EBIRD:OBS680697199","5/11/2020 14:49",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,"Male, Adult (1)","Brazil","BR","São Paulo","BR-SP",NA,NA,NA,NA,NA,NA,"Itirapina--local descrito por Jeremy Minns","L3453441","H",-22.248943,-47.905257,2018-11-13,"7:49:00","obsr536027","S50257986","Traveling","P22","EBIRD",180,1.5,NA,4,1,NA,0,1,1,NA,"Com o grande Cal Martins e os simpáticos clientes Norte americanos Keith & Janice Wiggers.","Macho adulto."
"52","URN:CornellLabOfOrnithology:EBIRD:OBS621140560","12/9/2019 15:27",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"PN Serra da Canastra--plateau","L1123074","H",-20.2183,-46.4763,2018-05-01,"6:50:00","obsr623370","S45867406","Traveling","P22","EBIRD",402,20,NA,4,1,"G3216296",0,1,0,NA,NA,NA
"53","URN:CornellLabOfOrnithology:EBIRD:OBS654631629","9/28/2019 22:30",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","São Paulo","BR-SP",NA,NA,NA,NA,NA,NA,"Itirapina, São Paulo","L7899119","P",-22.2547796,-47.8799415,2018-09-06,"7:04:00","obsr623760","S48325590","Traveling","P22","EBIRD",264,9.89,NA,2,1,"G3441589",0,1,1,NA,NA,NA
"54","URN:CornellLabOfOrnithology:EBIRD:OBS606050834","4/27/2018 6:04",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"PN Serra da Canastra","L933292","H",-20.2506019,-46.4955139,2018-04-26,"6:50:00","obsr467819","S44982969","Incidental","P20","EBIRD",NA,NA,NA,4,0,NA,0,1,0,NA,NA,NA
"55","URN:CornellLabOfOrnithology:EBIRD:OBS677600454","12/9/2018 17:59",16390,"species","Cock-tailed Tyrant","Alectrurus tricolor",NA,NA,1,NA,NA,NA,"Brazil","BR","Minas Gerais","BR-MG",NA,NA,NA,NA,NA,NA,"Madre de Deus","L8154535","P",-21.413412,-44.335963,2018-11-15,"7:10:00","obsr655949","S50015592","Traveling","P22","EBIRD",210,1,NA,3,1,"G3638194",1,1,0,NA,NA,NA
